ול סחיי,ראיות אלקטרוניות : 1,סדר דין פלילי : 1
יפא נופלט,ראיות אלקטרוניות : 1
שמתשה עבתנ,זכויות יוצרים : 1
דרזא תשקב,פשעי מחשב : 1,סדר דין פלילי : 1
רז חרזא,רגולציה וממשל : 2
הטלחה תיצמת,דעות : 1
תורכיה תוקמעתה,דעות : 1
ינענצל סחיי,דעות : 1
תיב שופיח,סדר דין פלילי : 1
עבתנ תעבות,פייסבוק : 1
תוהדזה שרד,פטנטים : 1
עשרוה בישה,ראיות אלקטרוניות : 1
"הטלחהה"" תנגוה",פטנטים : 1
נמז צמוא,דעות : 1
לוהינ הוולנ,רגולציה וממשל : 1
נעט עוצקמ,זכויות יוצרים : 1
הנהנ ינורטקלא,דעות : 1
עדימ נופלט,ראיות אלקטרוניות : 1
לעופב רסאמ,פשעי מחשב : 3,סדר דין פלילי : 2
רוערע הערכה,פשעי מחשב : 2,סדר דין פלילי : 2
ניינע בחרתה,פטנטים : 1
הרישק מויא,דעות : 1
אל ],ראיות אלקטרוניות : 1
נמייקתהבש -,סדר דין פלילי : 1
רפסמ יארשא,דעות : 1
) רזעילא,פייסבוק : 1
מסרפ פקות,רגולציה וממשל : 1
הנומת תרושקת,דעות : 1
השורג תיב,ראיות אלקטרוניות : 1
ניבה מושיר,פטנטים : 1
ענמ ימואל,פשעי מחשב : 1
דבוע רוסא,דעות : 1
יארשא סיטרכ,דעות : 1
יוהיז תינבת,פייסבוק : 1
חולשמ כרוצ,פטנטים : 1
נוקית תרטמ,פטנטים : 2
רזחוה ררוע,ראיות אלקטרוניות : 1,סדר דין פלילי : 1
סנכנ נפ,רגולציה וממשל : 1
תע ;,מדיניות הפרטיות : 1
} 'חאו,ראיות אלקטרוניות : 1,דעות : 1
קר אל,פטנטים : 1
נווקמ נותיע,פייסבוק : 1,זכויות יוצרים : 1
בשחמ כרעמ,דעות : 1
טנרטניא ינטלומיס,דעות : 1
הפקתמ מלוש,פשעי מחשב : 1
טנטפ מוחת,פטנטים : 1
- אביש,פשעי מחשב : 1
האירוק מורד,רגולציה וממשל : 1
רגס רמשנ,מדיניות הפרטיות : 1
פקיה דרוקסיד,זכויות יוצרים : 1
כלה רשפא,מדיניות הפרטיות : 1
תוביצנ הטלחה,פייסבוק : 1
ער ננש,פייסבוק : 3
נעט תקולחמ,מדיניות הפרטיות : 1
תוינידמ הארוה,מדיניות הפרטיות : 1
היגולונכט רשפא,פייסבוק : 1
יונמ ירלולס,פשעי מחשב : 1
ניזגמ לעב,פייסבוק : 1,זכויות יוצרים : 1
מייתעש הקד,דעות : 1
הריצי רחסמ,ראיות אלקטרוניות : 1
הייבג ריתה,ראיות אלקטרוניות : 1
) קית,סדר דין פלילי : 1
תשר פלד,דעות : 1
קובסייפה דומעו,פייסבוק : 1,זכויות יוצרים : 1
קובסייפב מסרופ,פייסבוק : 1
תע תע,מדיניות הפרטיות : 1
הניש בשחוממ,פשעי מחשב : 1
) 'מיגול'ה,מדיניות הפרטיות : 1
מושיא בתכ,ראיות אלקטרוניות : 2,סדר דין פלילי : 2,דעות : 2
יוציפ הטיסרבינוא,פטנטים : 1
רוא ינודז,פשעי מחשב : 1
דרשמ מקוה,פייסבוק : 1
טפוש הוונ,דעות : 1
כ פקיה,פשעי מחשב : 1
דיינ בשחמ,סדר דין פלילי : 2
בייחתה אל,מדיניות הפרטיות : 1
בשחמ נפ,סדר דין פלילי : 1
נפ חותינ,רגולציה וממשל : 1
רבד בשחמ,דעות : 1
בתכ ניע,דעות : 1
"מייח ד""וע",מדיניות הפרטיות : 1
? מינפ,דעות : 1
שארמ חינה,ראיות אלקטרוניות : 1,סדר דין פלילי : 1
הלעפה רתא,מדיניות הפרטיות : 1
{ רתומ,דעות : 1
דרז לע,פשעי מחשב : 1,סדר דין פלילי : 1
דוע הקשוה,פייסבוק : 1
מוסרפ הביתכ,פייסבוק : 1
הקיקח הטויט,פטנטים : 1
'חאו ינולפ,דעות : 1
לע מסרפתה,דעות : 1
elppA הרבח,פטנטים : 1
סנוא ממש,ראיות אלקטרוניות : 1,סדר דין פלילי : 1
מג פרוצ,רגולציה וממשל : 1
חנומ פסוא,דעות : 1
תליא בשות,פשעי מחשב : 2,סדר דין פלילי : 1
נמז תוכז,זכויות יוצרים : 1
טפוש נוילע,ראיות אלקטרוניות : 3,פשעי מחשב : 1,סדר דין פלילי : 2
ידע טפוש,זכויות יוצרים : 1
עדימ החטבא,מדיניות הפרטיות : 1
גוס תופקתמ,מדיניות הפרטיות : 1
הרקמב וליפא,מדיניות הפרטיות : 1
אל מוליצ,פייסבוק : 1,זכויות יוצרים : 2
סוס מיברב,דעות : 1
העיגפ ניב,ראיות אלקטרוניות : 1
לוכי פסונב,מדיניות הפרטיות : 1
בבש קסע,פטנטים : 1
- מ,פשעי מחשב : 1,פטנטים : 1,דעות : 2
קוח קספנ,זכויות יוצרים : 1
רזג לע,פשעי מחשב : 3,סדר דין פלילי : 2
לטוה ניד,פשעי מחשב : 1,סדר דין פלילי : 1
השק -,דעות : 1
- ],סדר דין פלילי : 1
iF -,פטנטים : 1
רבעוה עסונ,רגולציה וממשל : 1
מ קוח,דעות : 1
דצ שוכר,מדיניות הפרטיות : 1
הקשוה מינפ,פייסבוק : 1
דיינ נופלט,ראיות אלקטרוניות : 1,דעות : 1
מוליצ תוכז,פייסבוק : 1,זכויות יוצרים : 1
נמז תעבתנ,זכויות יוצרים : 1
ליבקמב ניס,רגולציה וממשל : 1
היגוע משיי,מדיניות הפרטיות : 1
ליעפ קסע,רגולציה וממשל : 1
ככ -,ראיות אלקטרוניות : 1,פטנטים : 1
רועיש יוציפ,פטנטים : 1
בחר רוביצ,פטנטים : 1
חול ),זכויות יוצרים : 1
נורחא יעיבר,פשעי מחשב : 1
פרוצ ),רגולציה וממשל : 1
הנומת נוילימ,רגולציה וממשל : 1
קסע ננולתה,פשעי מחשב : 1
יפסכ סנק,פשעי מחשב : 1,סדר דין פלילי : 1
ניא רתא,מדיניות הפרטיות : 1
רודיש טנרטניא,דעות : 1
לע הנגה,רגולציה וממשל : 2
מג יוטיב,פייסבוק : 1
נתינ אל,פייסבוק : 1,סדר דין פלילי : 1
- קוח,רגולציה וממשל : 1
- לע,ראיות אלקטרוניות : 1,פשעי מחשב : 1,פטנטים : 1,סדר דין פלילי : 1,מדיניות הפרטיות : 1
רסאנ טפוש,ראיות אלקטרוניות : 1,סדר דין פלילי : 1
ניד -,ראיות אלקטרוניות : 2,פשעי מחשב : 4,פייסבוק : 4,סדר דין פלילי : 2,זכויות יוצרים : 6
רתא השרוה,מדיניות הפרטיות : 1
העיבק (,רגולציה וממשל : 1
שקיב תלייח,ראיות אלקטרוניות : 1
( תורבחתה,מדיניות הפרטיות : 1
יזוחמ ניד,פשעי מחשב : 1,זכויות יוצרים : 1
רש המזוי,רגולציה וממשל : 1
הקפנה עדימ,רגולציה וממשל : 1
ללוכ היגולונכט,פטנטים : 1
מיירטמויב עצמא,רגולציה וממשל : 1
הפיכא ילכ,סדר דין פלילי : 1
ירלולס רישכמ,פשעי מחשב : 1
- כ,רגולציה וממשל : 1,פשעי מחשב : 2
דרשמ השקב,סדר דין פלילי : 1
מוליצ ינש,זכויות יוצרים : 1
"הדעו ר""וי",רגולציה וממשל : 1
רבס ;,מדיניות הפרטיות : 1
הנומת הלעה,מדיניות הפרטיות : 1
ניב 'דלונ,דעות : 1
כרע רטוש,סדר דין פלילי : 1
ורידנאקו OSN,רגולציה וממשל : 1
תוכז לעב,זכויות יוצרים : 2
עבטמ העקשה,פשעי מחשב : 1
מויכ תושרה,פטנטים : 1
לוענמ עבתנ,זכויות יוצרים : 1
רתא צרפ,דעות : 1
הנתה רעצמל,דעות : 1
הנש חווד,פשעי מחשב : 1
caM daPi,פטנטים : 1
ככ הנש,פשעי מחשב : 1
כילה השירד,מדיניות הפרטיות : 1
מולש ניד,פייסבוק : 4,זכויות יוצרים : 4
יוהיז יתלשממ,רגולציה וממשל : 1
"ש""מהיב ידי",פשעי מחשב : 1,סדר דין פלילי : 1
יביטקפא הפיכא,סדר דין פלילי : 1
פייט האנוה,ראיות אלקטרוניות : 1
) רייא,סדר דין פלילי : 1
צליא הלוח,פשעי מחשב : 1
ירשפא העיגפ,ראיות אלקטרוניות : 1
מוסרפ גיצה,פייסבוק : 1
ראוד בתכ,דעות : 1
חוליש ינפחרב,פטנטים : 1
נבומכ לוכי,מדיניות הפרטיות : 1
העיבת נעט,מדיניות הפרטיות : 1
נקית די,מדיניות הפרטיות : 1
ליטה תורשפא,פייסבוק : 1
דעונ תישיא,מדיניות הפרטיות : 1
עבתנ ניל,פייסבוק : 1
שומיש ללוכ,פטנטים : 1
יטרפ הנגה,רגולציה וממשל : 6,דעות : 3,מדיניות הפרטיות : 1
noitaicossA llabtooF,דעות : 1
נתינ תושר,דעות : 1
מש קר,דעות : 1
ססבתהב רתוי,פשעי מחשב : 1
עדימ הנגה,פייסבוק : 1
[ תליא,פשעי מחשב : 1
{ די,ראיות אלקטרוניות : 1
ב תודע,ראיות אלקטרוניות : 1
יתריצי הנוכמ,פטנטים : 1
הנפ יטרפ,מדיניות הפרטיות : 1
טנטפ השקב,פטנטים : 1
האר כרד,דעות : 1
וצ די,מדיניות הפרטיות : 1
רוא יגולונכט,פטנטים : 1
רצי שקיב,זכויות יוצרים : 1
- זכרמ,ראיות אלקטרוניות : 2
) נימי,זכויות יוצרים : 1
מולשת ההוז,פשעי מחשב : 1
תכרעמ קתיש,פשעי מחשב : 1
נוקית מויה,רגולציה וממשל : 1
טסופ קובסייפב,פייסבוק : 1
הסינכ ינורטקלא,פטנטים : 1
נופלט שארמ,ראיות אלקטרוניות : 1,סדר דין פלילי : 1
נויע (,סדר דין פלילי : 1
הריסמ תעב,מדיניות הפרטיות : 1
נמז הנש,פטנטים : 1
חותפ רתונ,פטנטים : 1
"יכ הטלחהה""",פטנטים : 1
רקא רבע,פשעי מחשב : 1
גיית רחא,פייסבוק : 1
לעב תעבתנ,פייסבוק : 1,זכויות יוצרים : 1
לעב מוליצ,זכויות יוצרים : 1
עדימ רתא,מדיניות הפרטיות : 1
( רבח,פשעי מחשב : 1,סדר דין פלילי : 1
רתוה נוכנ,דעות : 1
חתיפ היאר,רגולציה וממשל : 1
לע רוערע,ראיות אלקטרוניות : 4,פשעי מחשב : 2,סדר דין פלילי : 1
) תימע,ראיות אלקטרוניות : 1,סדר דין פלילי : 1
לע נגה,מדיניות הפרטיות : 1
סכנ ואדיו,פטנטים : 1
הרבח הרוה,פטנטים : 1
נימ הריבע,ראיות אלקטרוניות : 1,סדר דין פלילי : 1
לע ול,פטנטים : 1
עידוה טוביבורג,זכויות יוצרים : 1
טרפ רסמ,מדיניות הפרטיות : 1
ילבמ לואיס,רגולציה וממשל : 1
הפצ טנרטניא,מדיניות הפרטיות : 1
מינפ הנומת,רגולציה וממשל : 1,דעות : 1
השיג נותנ,פשעי מחשב : 1
תוהדזה שרדנ,פטנטים : 2
הטיסרבינוא מליש,פטנטים : 1
שולש העש,סדר דין פלילי : 1
לע נותנ,דעות : 1
השגה תכרעמ,פטנטים : 2
חנומ נוכדע,רגולציה וממשל : 1
רוב נולח,פטנטים : 1
יעוצקמ הרשכה,דעות : 1
נוילימ -,רגולציה וממשל : 1,פשעי מחשב : 3,זכויות יוצרים : 2
נמז דודיח,רגולציה וממשל : 1
נותנ ול,פשעי מחשב : 1
הביתכ עקר,פייסבוק : 1
הצובק ער,פייסבוק : 1
תיב לומתא,ראיות אלקטרוניות : 1
עקר נגד,פייסבוק : 1
הדיחי -,ראיות אלקטרוניות : 1
חווד מוכס,פשעי מחשב : 1
רבח הקד,פטנטים : 1
הקיקח כילהת,רגולציה וממשל : 1
לבקמ הנוש,פשעי מחשב : 1
הלעמל רועיש,פטנטים : 1
משאנ שבח,סדר דין פלילי : 1
שכר וגול,זכויות יוצרים : 1
עבתנ הרבח,זכויות יוצרים : 1
ללכ נויד,פטנטים : 2
"- מ""ע",ראיות אלקטרוניות : 1
רוויד המישר,מדיניות הפרטיות : 1
לעפוה liocwal,מדיניות הפרטיות : 1
נתמ לע,ראיות אלקטרוניות : 1
רקיע עשפ,דעות : 1
הנומת גיצה,פייסבוק : 1
רטוש כמסומ,סדר דין פלילי : 1
יתלשממ רתא,פטנטים : 1
"דבלב """,דעות : 1
חטבא קוח,רגולציה וממשל : 1
דרז שיגה,פשעי מחשב : 1,סדר דין פלילי : 1
רקאה ',דעות : 1
תולהנתה לע,פייסבוק : 1
ילכ הרטשמ,סדר דין פלילי : 1
ההוז תרגסמ,פשעי מחשב : 1
הטלחה נאכ,דעות : 1
דוע תרשקת,דעות : 1
מולשת רסאמ,פשעי מחשב : 1,סדר דין פלילי : 1
השקב לביק,ראיות אלקטרוניות : 2,סדר דין פלילי : 1
עדימ רגאמ,רגולציה וממשל : 3,דעות : 2
ככ ירוקמ,ראיות אלקטרוניות : 1
נוכנ נכדע,מדיניות הפרטיות : 1
הבינג עציב,פשעי מחשב : 1,סדר דין פלילי : 1
לע תורעתסה,סדר דין פלילי : 1
לע רבעוה,רגולציה וממשל : 1
עבק עצומ,רגולציה וממשל : 1
הנידמ אצוי,רגולציה וממשל : 1
מא הקד,דעות : 1
מוסרפ ול,זכויות יוצרים : 1
לע להונ,מדיניות הפרטיות : 1
ננכת נורחא,פייסבוק : 1
רסמ המזוי,מדיניות הפרטיות : 1
llabtooF ehT,דעות : 1
לטינ מיירטמויב,רגולציה וממשל : 1
תפקתמהפקתמה ענמ,פשעי מחשב : 1
מאפס העיבת,זכויות יוצרים : 1
"כ""ח הדעו",רגולציה וממשל : 1
דגנתה טפוש,דעות : 1
( קוח,רגולציה וממשל : 1
תוכמס תפסות,רגולציה וממשל : 1
מייק יחרזא,ראיות אלקטרוניות : 1
תוירטמויב הדועת,רגולציה וממשל : 1
נוילע הקד,פשעי מחשב : 1,סדר דין פלילי : 1
הרבח יונמ,פשעי מחשב : 1
הדסק המלצמ,סדר דין פלילי : 1
מג פרטצה,רגולציה וממשל : 1,ראיות אלקטרוניות : 1,פשעי מחשב : 1,פייסבוק : 1,פטנטים : 1,סדר דין פלילי : 1,זכויות יוצרים : 1,דעות : 1,מדיניות הפרטיות : 1
בצוה אל,מדיניות הפרטיות : 1
גיאדה תולהנתה,פייסבוק : 1
הליחת רשוא,פטנטים : 1
ביבס שחרתה,פייסבוק : 1
לביק טפושהתורעתסהה,סדר דין פלילי : 1
תורבחתה רתא,מדיניות הפרטיות : 1
ריכזה ינענצ,דעות : 1
noisseS -,מדיניות הפרטיות : 1
כייש נקויד,פייסבוק : 1,זכויות יוצרים : 1
דיקפת הדעו,פייסבוק : 1
בשות דרז,פשעי מחשב : 2,סדר דין פלילי : 1
ירוזימ הנידמ,פטנטים : 1
קלח ביבס,דעות : 1
רתיא ידכ,מדיניות הפרטיות : 1
nekoT FRSC,מדיניות הפרטיות : 1
נוג -,דעות : 1
אשונ דחא,רגולציה וממשל : 1
דראילימ -,פטנטים : 1
- רזג,פשעי מחשב : 3,סדר דין פלילי : 2
ינענצ הזח,דעות : 1
העיבת עבתנ,פייסבוק : 1
רתיא המשרה,מדיניות הפרטיות : 1
