נמוס נוקית,רגולציה וממשל : 1
"- ת""ה",ראיות אלקטרוניות : 2,סדר דין פלילי : 1
מושיר נתינ,פטנטים : 1
מינוריונ תשר,פטנטים : 1
פקות סנכנ,רגולציה וממשל : 2
עדימ יטרפ,מדיניות הפרטיות : 1
רוכז לטוה,פשעי מחשב : 1,סדר דין פלילי : 1
עדימ הנגה,פייסבוק : 1
שי ?,ראיות אלקטרוניות : 1,דעות : 1
לוכי אל,מדיניות הפרטיות : 2
- טושפ,מדיניות הפרטיות : 1
תכרעמ טנטפ,פטנטים : 2
ביצה nekoT,מדיניות הפרטיות : 1
שחרתה עוריא,פייסבוק : 1
טנטפ תויוכז,פטנטים : 1
וגול שמתשה,זכויות יוצרים : 1
מ קוח,דעות : 1
א לע,פשעי מחשב : 1
רפסומ המוד,רגולציה וממשל : 1
פוסב תוריש,זכויות יוצרים : 1
בורק נושאר,רגולציה וממשל : 1
) פפוקסורג,ראיות אלקטרוניות : 1
נפוא שיגה,פטנטים : 2
דגנתה טפוש,דעות : 1
חתינ נכות,מדיניות הפרטיות : 1
ב ),רגולציה וממשל : 1
הווקמ נפוא,פטנטים : 1
רבק מלוצ,זכויות יוצרים : 1
לוכי פסונב,מדיניות הפרטיות : 1
נמז מליג,רגולציה וממשל : 1
תוירטמויב הדועת,רגולציה וממשל : 1
' ידועס,דעות : 1
לעב מוליצ,זכויות יוצרים : 1
איה קוח,מדיניות הפרטיות : 1
פוסב יאקירמא,פשעי מחשב : 1
העדומ הפוצ,זכויות יוצרים : 1
ניד רפה,פטנטים : 1
דומע רעצמ,זכויות יוצרים : 1
שקיב יטרפ,רגולציה וממשל : 1
עדימ פוסיא,רגולציה וממשל : 1
הנעט דיינ,סדר דין פלילי : 1
ראוני -,סדר דין פלילי : 1
משאנ קית,סדר דין פלילי : 1
דבוע ללכ,פשעי מחשב : 1
) נאכ,רגולציה וממשל : 1
רישכמ ריאשה,ראיות אלקטרוניות : 1
ננש העיבת,פייסבוק : 1
בחרתה כלה,פטנטים : 1
יוצמ נכש,ראיות אלקטרוניות : 1,סדר דין פלילי : 1
חוליש ינפחרב,פטנטים : 1
טפוש תודמעומ,דעות : 1
יטפשמ כילה,מדיניות הפרטיות : 1
הנידמ אצוי,רגולציה וממשל : 1
תויטרפב ירשפא,ראיות אלקטרוניות : 1
עבק עצומ,רגולציה וממשל : 1
( תירבה,רגולציה וממשל : 1,פטנטים : 1
עדימ קלח,מדיניות הפרטיות : 1
נמז ער,פייסבוק : 1
בדנתמ שפיח,זכויות יוצרים : 1
עבות דול,זכויות יוצרים : 1
נגה כלה,מדיניות הפרטיות : 1
"- ב""הרא",פטנטים : 1
תושר השק,ראיות אלקטרוניות : 2
מאפס העיבת,זכויות יוצרים : 1
ככ -,ראיות אלקטרוניות : 1,פטנטים : 1
נוזמא פשח,פטנטים : 1
כוסכס ער,פייסבוק : 1
זעוה תרושקת,פייסבוק : 1
ללכ נוקית,רגולציה וממשל : 1
תודע הייבג,ראיות אלקטרוניות : 1
ילבמ (,רגולציה וממשל : 1
) הווראסמ,ראיות אלקטרוניות : 2
נופלט רישכמ,ראיות אלקטרוניות : 5,סדר דין פלילי : 1
כייש טנטפ,פטנטים : 1
הנגה קוחובש,מדיניות הפרטיות : 1
רקובה מסרפ,דעות : 1
המכסה רתא,זכויות יוצרים : 1
בכרומ יתריצי,פטנטים : 1
עדימ טרפ,מדיניות הפרטיות : 1
מויק רידסה,פטנטים : 1
טושפ רתא,מדיניות הפרטיות : 1
"כ""ח הדעו",רגולציה וממשל : 1
נוכדע ללכ,רגולציה וממשל : 1
הונ יפא,ראיות אלקטרוניות : 3
מוליצ תוכז,פייסבוק : 1,זכויות יוצרים : 1
עבות רצי,זכויות יוצרים : 1
רתא הלעפה,ראיות אלקטרוניות : 1
רתא בשחמ,מדיניות הפרטיות : 2
נעט יאמצע,פייסבוק : 1,זכויות יוצרים : 1
רצע תעב,פייסבוק : 1
נויע הריבע,סדר דין פלילי : 1
בתכ אצמ,דעות : 1
דיחי מא,דעות : 1
רדסה עבק,רגולציה וממשל : 1
ניסח היה,מדיניות הפרטיות : 1
הוונ מדיק,דעות : 1
הביתכ עקר,פייסבוק : 1
מירטמויב נותנ,דעות : 1
רוא יוקיל,דעות : 1
ירוביצ תובישח,פייסבוק : 1
רתיא הנומת,מדיניות הפרטיות : 1
טידרק נתנ,זכויות יוצרים : 1
הדעו נויד,רגולציה וממשל : 1
משאנ T&TA,פשעי מחשב : 1
יפא השרפ,ראיות אלקטרוניות : 1
""" שמתשמ",זכויות יוצרים : 1
מש תוניגה,שדי תרומות : 1
נמז חותפ,פטנטים : 1
הרוה טופיש,מדיניות הפרטיות : 1
תעב העד,מדיניות הפרטיות : 1
העיבת נעט,מדיניות הפרטיות : 1
בריס דיחי,דעות : 1
נמז נפוא,פטנטים : 1
ניינע בחרתה,פטנטים : 1
שקיב תלייח,ראיות אלקטרוניות : 1
ילטיגיד עבטמ,פשעי מחשב : 1,סדר דין פלילי : 1
ינרע ראשנ,פטנטים : 1
( קובסייפב,פייסבוק : 1
- טנטפ,פטנטים : 2
לש ילילפ,ראיות אלקטרוניות : 1
""" המישר",רגולציה וממשל : 1
"רזג ב""הרא",פשעי מחשב : 1
"ש""מהיב הקד",ראיות אלקטרוניות : 1
תשקב עובשה,פשעי מחשב : 1,סדר דין פלילי : 1
בשחמ דירוה,דעות : 1
"דבלב """,דעות : 1
ידכ טרפ,מדיניות הפרטיות : 1
ילבמ לואיס,רגולציה וממשל : 1
כסב ננולתה,פשעי מחשב : 1
האר כרד,דעות : 1
ריהמ הליבח,פטנטים : 1
ענמ ידכ,מדיניות הפרטיות : 1
ריזחה הרוה,ראיות אלקטרוניות : 1
שיגר שיא,רגולציה וממשל : 1
השקב רבסה,פטנטים : 1
תושר העדוה,דעות : 2
יוציר רסאמ,פשעי מחשב : 1
הדועת הקפנה,רגולציה וממשל : 1
פקיה נפד,דעות : 1
וצ תיב,סדר דין פלילי : 1
טנטפ מוחת,פטנטים : 1
לע ררע,ראיות אלקטרוניות : 3,סדר דין פלילי : 3
רסמ העט,מדיניות הפרטיות : 1
דימתיולגב מסרפתה,מדיניות הפרטיות : 1
""" רסמ",רגולציה וממשל : 1
השיג נותנ,פשעי מחשב : 1
DI noisseS,מדיניות הפרטיות : 2
"ת""ה {",ראיות אלקטרוניות : 1
תשר בכרומ,פטנטים : 1
רחא שמתשה,פייסבוק : 1
דומע הלעוה,זכויות יוצרים : 1
דח תוגהנתה,פטנטים : 1
נוחצינ יקסע,פטנטים : 1
בריס הנש,פטנטים : 1
עבש ראב,פשעי מחשב : 1,סדר דין פלילי : 1
- נומגא,דעות : 1
עבתנ דוע,זכויות יוצרים : 1
דוע תרשקת,דעות : 1
שיגה משל,פטנטים : 2
ו רפסומ,רגולציה וממשל : 1
? מינפ,דעות : 1
""" שיא",דעות : 1
העש הארוה,סדר דין פלילי : 1
רפה ',זכויות יוצרים : 1
בשחמ בצוה,מדיניות הפרטיות : 1
"ש""ב יזוחמ",ראיות אלקטרוניות : 1,פשעי מחשב : 3,סדר דין פלילי : 3
הלשממ מוריח,רגולציה וממשל : 1
עציב כות,זכויות יוצרים : 1
סוס מיברב,דעות : 1
לע ססבתהב,רגולציה וממשל : 1,פשעי מחשב : 1
הרידח בשחמ,דעות : 1
) תישיא,מדיניות הפרטיות : 1
הטלחה לומתא,דעות : 1
עדימ מג,רגולציה וממשל : 1
ביבא -,ראיות אלקטרוניות : 1
רוא יגולונכט,פטנטים : 1
תליא בשות,פשעי מחשב : 2,סדר דין פלילי : 1
ינש הליג,זכויות יוצרים : 1
ידי לע,רגולציה וממשל : 1,ראיות אלקטרוניות : 1,פטנטים : 1
הערכה דע,פשעי מחשב : 1,סדר דין פלילי : 1
רסא שקיב,דעות : 1
תכל קיחרה,רגולציה וממשל : 1
לוכי מג,מדיניות הפרטיות : 1
נמז קתונמ,פייסבוק : 1
הייחד הקד,ראיות אלקטרוניות : 1
רחס השרפ,פשעי מחשב : 1
( רבח,פשעי מחשב : 1,סדר דין פלילי : 1
הנש יהלש,פייסבוק : 1
הריבע ננולתה,ראיות אלקטרוניות : 1,סדר דין פלילי : 1
דיקפת הדעו,פייסבוק : 1
הרהצה מסרפ,פטנטים : 1
סנכנ טסוגוא,רגולציה וממשל : 1
